timestamp,level,module,error_code,message,user_id,session_duration_sec
2024-01-15 08:12:33,ERROR,auth,AUTH_001,Failed login attempt - invalid password,user_142,0
2024-01-15 08:15:01,WARN,payment,PAY_003,Payment timeout - retry scheduled,user_87,320
2024-01-15 08:22:14,ERROR,auth,AUTH_001,Failed login attempt - invalid password,user_203,0
2024-01-15 08:30:45,ERROR,network,NET_002,Connection reset by peer,user_54,180
2024-01-15 08:35:22,ERROR,auth,AUTH_002,Account locked after 5 attempts,user_142,0
2024-01-15 09:01:10,WARN,database,DB_001,Slow query detected (>2s),user_301,540
2024-01-15 09:12:55,ERROR,payment,PAY_001,Insufficient funds,user_19,420
2024-01-15 09:15:30,ERROR,auth,AUTH_001,Failed login attempt - invalid password,user_77,0
2024-01-15 09:22:18,ERROR,network,NET_001,DNS resolution failed,user_412,60
2024-01-15 09:30:00,WARN,auth,AUTH_003,Suspicious login from new location,user_88,0
2024-01-15 09:45:12,ERROR,payment,PAY_002,Card declined - expired,user_156,300
2024-01-15 10:01:33,ERROR,auth,AUTH_001,Failed login attempt - invalid password,user_305,0
2024-01-15 10:05:44,ERROR,network,NET_002,Connection reset by peer,user_201,90
2024-01-15 10:12:08,WARN,database,DB_002,Connection pool exhausted,user_67,600
2024-01-15 10:30:22,ERROR,auth,AUTH_001,Failed login attempt - invalid password,user_412,0
2024-01-15 10:45:01,ERROR,payment,PAY_003,Payment timeout - retry scheduled,user_33,250
2024-01-15 11:00:15,ERROR,network,NET_002,Connection reset by peer,user_99,45
2024-01-15 11:12:30,ERROR,auth,AUTH_001,Failed login attempt - invalid password,user_501,0
2024-01-15 11:22:45,WARN,payment,PAY_004,Currency conversion rate unavailable,user_278,180
2024-01-15 11:35:10,ERROR,database,DB_003,Deadlock detected - transaction rolled back,user_145,720
2024-01-15 11:45:55,ERROR,auth,AUTH_001,Failed login attempt - invalid password,user_89,0
2024-01-15 12:00:30,ERROR,network,NET_003,SSL handshake failed,user_334,30
2024-01-15 12:15:20,ERROR,payment,PAY_001,Insufficient funds,user_202,360
2024-01-15 12:30:45,WARN,auth,AUTH_003,Suspicious login from new location,user_412,0
2024-01-15 12:45:10,ERROR,network,NET_002,Connection reset by peer,user_178,120
2024-01-15 13:00:00,ERROR,auth,AUTH_001,Failed login attempt - invalid password,user_67,0
2024-01-15 13:15:33,ERROR,database,DB_001,Slow query detected (>2s),user_445,480
2024-01-15 13:30:22,ERROR,payment,PAY_002,Card declined - expired,user_91,270
2024-01-15 13:45:18,WARN,network,NET_004,High latency detected (>500ms),user_312,200
2024-01-15 14:00:05,ERROR,auth,AUTH_002,Account locked after 5 attempts,user_305,0
